Date,Inflation,Population,GDP,Imports,Exports,Agriculture,Industry,Services,USDPHP,Nominal GDP,Imports_PHPMN,Exports_PHPMN,TotalTrade,TotalTrade_PHPMN,NominalGDP_disagg,Pop_disagg,Revenues,Tax Revenues,BIR,BOC,Other Offices,Non-tax Revenues,BTr Income,Fees and Charges,CARP,Income from Malampaya,Privatization,Grants,Economic Support Fund,Other non-tax,Sale of Assets,Marcos Wealth,Expenditures,Allotment to LGUs,Interest Payments,Tax Expenditures,Subsidy,Equity,Net Lending,NG Disbursements,COVID-19,TRAIN,CREATE,FIST,BIR_COMM
10/1/94,11.3,0,0,1886.76,1299.34,0,0,0,25.3945,0,47913.32682,32996.08963,3186.1,80909.41645,157738.1375267428,65851128.72753356,33541,26392,18164,8019,209,7149,2623,1799,0,0,2726,1,0,0,0,0,24778,3413,5202,150,386,331,1650,13646,0,0,0,0,0
11/1/94,11,0,0,1860.74,1128.46,0,0,0,24.2648,0,45150.48395,27381.85621,2989.2,72532.34016,151166.62441605038,65843929.08537678,39552,26404,17224,9037,143,13147,1149,703,0,0,10692,603,0,0,0,0,28588,3223,6994,397,201,61,1266,16446,0,0,0,0,0
12/1/94,10.8,67530621,1507443.46,1893.13,1308.55,18.29,31.97,49.74,24.145,554751,45709.62385,31594.93975,3201.6800000000003,77304.56360000001,192738.05441457537,67869607.68136708,24696,22161,13369,8673,119,2535,1278,971,0,0,199,87,0,0,0,0,33813,5379,4474,1280,949,1085,620,20026,0,0,0,0,0
1/1/95,6.1,0,0,1855.58,1160.75,0,0,0,24.6223,0,45688.64743,28580.33473,3016.33,74268.98216,185454.24447013193,67689400.94505422,27348,25252,18240,6812,200,2096,1336,733,0,0,25,2,0,0,0,0,28501,3581,5087,0,704,1,197,18931,0,0,0,0,0
2/1/95,5.6,0,0,1615.89,1263.77,0,0,0,25.0282,0,40442.8181,31629.88831,2879.66,72072.70641,183510.07559328523,67647980.08982265,30834,18982,11835,6893,254,11852,714,1206,0,0,9923,9,0,0,0,0,25313,3769,4290,43,183,2,71,16955,0,0,0,0,0
3/1/95,6,0,1328938.79,2142.54,1298.58,17.59,32.59,49.82,25.859,495093,55403.94186,33579.98022,3441.12,88983.92207999999,180134.38682075188,67610324.77,34574,21030,12402,8350,278,13544,2758,711,0,0,10017,58,0,0,0,0,33473,6067,6118,27,226,3000,1025,17010,0,0,0,0,0
4/1/95,6,0,0,2229.56,1377.42,0,0,0,26.0077,0,57985.72761,35823.52613,3606.98,93809.25374,171433.0424294793,67576434.97624093,38415,36033,29046,6778,209,2382,1348,404,0,0,299,331,0,0,0,0,27134,4244,5670,53,71,0,266,16830,0,0,0,0,0
5/1/95,6.2,0,0,2143.63,1400.58,0,0,0,25.8493,0,55411.33496,36204.01259,3544.21,91615.34755,162402.45185499647,67546310.72,27038,25508,17880,7505,123,1530,643,555,0,0,35,297,0,0,0,0,32952,5506,9316,596,506,0,426,16602,0,0,0,0,0
6/1/95,6.5,0,1352499.4,2328.66,1521.69,15.47,32.57,51.96,25.6742,514116,59786.48257,39068.1734,3850.35,98854.65597,175294.73245841492,67519951.99183428,25920,23427,14165,9007,255,2493,1111,861,0,0,497,24,0,0,0,0,27286,3521,6809,61,496,128,-254,16525,0,0,0,0,0
7/1/95,6.3,0,0,2175.49,1592.69,0,0,0,25.514,0,55505.45186,40635.89266,3768.18,96141.34452,170895.5257745655,67497358.79807162,30762,28931,20065,8620,246,1831,1131,615,0,0,66,19,0,0,0,0,33616,4355,6479,31,172,496,251,21832,0,0,0,0,0
