Date,BIR,BOC,Other Offices,BTr Income,Fees and Charges,CARP,Income from Malampaya,Privatization,Grants,Economic Support Fund,Other non-tax,Sale of Assets,Marcos Wealth,Allotment to LGUs,Interest Payments,Tax Expenditures,Subsidy,Equity,Net Lending,NG Disbursements
2/1/2007,41243,13423,804,4170,1569,0,1300.598,25791,58,0,1256.402,0,0,15767,26464,0,1254,30,-42,35033
3/1/2007,52130,15039,1198,3732,1294,0,585.436,55,11,0,992.564,0,0,17364,30385,1334,3371,52,1303,54590
4/1/2007,75771,17198,757,4570,1290,0,1104.33,0,4,0,460.67,0,0,15986,19970,2287,2384,0,605,47971
5/1/2007,66708,17531,1199,6109,1846,0,562.762,83,2,0,92.238,0,0,17199,14044,2309,86,50,432,61760
6/1/2007,49131,17207,861,8512,1491,0,571.391,24,39,0,-148.391,0,0,14988,6463,2257,2070,80,-302,51350
7/1/2007,58695,20830,806,5354,1673,0,790.155,15169,2,0,653.845,0,0,15395,29862,7347,3453,131,425,45765
8/1/2007,79578,20908,785,8224,3685,0,666.876,998,9,0,2261.124,0,0,15786,33027,4536,479,0,268,49122
9/1/2007,48929,19062,945,8473,1798,0,738.613,216,3,0,725.387,0,0,15259,30174,3705,1016,0,1226,44031
10/1/2007,53518,18748,782,3977,2522,0,759.625,1203,0,0,2189.375,0,0,15259,18624,1624,97,74,627,48872
11/1/2007,72252,20345,463,4961,1597,0,493.347,47000,6,0,1224.653,0,0,15390,13828,2560,3292,0,922,58257
12/1/2007,65915,17389,550,3647,891,0,512.727,23,16,0,3318.273,0,0,16841,12659,2160,8415,3282,3756,70195
1/1/2008,56710,14711,696,4642,1760,0,669.213,6601,27,0,1174.787,0,0,17593,30048,724,751,0,667,51143
2/1/2008,50888,15655,770,8485,1585,0,2547.492,152,7,0,1672.508,0,0,17681,39871,853,346,60,451,41498
3/1/2008,59024,18514,957,3935,1304,0,443.953,0,35,0,550.047,0,0,18680,30323,4122,974,0,1090,48200
4/1/2008,91345,21738,916,4731,2159,0,832.64,115,6,0,187.36,0,0,17612,18730,8300,520,0,436,50670
5/1/2008,77713,21524,903,3511,423,0,882.521,17,7,0,1898.479,0,0,20050,14023,5850,615,100,462,58753
6/1/2008,54088,24885,1385,4158,28,0,791.007,0,4,0,2224.993,0,0,19623,7971,10830,464,200,1027,46680
7/1/2008,63435,25013,829,7199,831,0,1238.747,56,8,0,2807.253,0,0,18637,33250,4009,4270,192,720,55768
8/1/2008,78905,25417,921,8949,1844,0,1163.76,537,5,0,1135.24,0,0,17910,31320,3301,2152,149,3020,59342
9/1/2008,55768,25755,948,2178,1532,0,828.925,153,7,0,2467.075,0,0,17785,29170,6102,659,333,2857,54359
10/1/2008,56945,24982,979,5350,2723,0,1212.452,0,1,0,441.548,0,0,18092,17587,3338,3141,629,1460,57346
11/1/2008,76745,23277,476,4265,1261,0,1065.409,286,15,0,1649.591,0,0,18830,12235,6500,1038,0,7627,67150
12/1/2008,57015,18777,580,6278,959,0,13822.52,23372,3,0,504.48,0,0,20502,7690,4784,6179,28,-5424,88994
1/1/2009,55230,14404,625,5107,1398,0,677.59,268,6,0,750.41,0,0,20502,35532,1,1147,0,106,59232
2/1/2009,47405,13850,1073,11723,1511,0,3955.744,106,2,0,1339.256,0,0,20829,35512,1396,233,0,1330,50658
3/1/2009,52136,14861,1160,3828,2130,0,598.631,114,0,0,1100.369,0,0,21095,35277,4679,846,200,2320,64150
4/1/2009,87076,21615,853,3752,1218,0,850.296,17,0,0,1199.704,0,0,21317,15839,6110,1866,30,-552,64067
5/1/2009,73338,19799,1325,3504,1475,0,4375.48,10,26,0,359.52,0,0,20821,11831,7166,942,0,610,74226
6/1/2009,60427,20282,940,2211,1739,0,2026.287,10,48,0,1866.713,0,0,27892,10752,13478,1947,121,2690,62917
7/1/2009,57606,24154,1011,12586,1617,0,1340.167,139,5,0,-60.167,0,0,18554,38961,5296,3521,0,-772,67468
8/1/2009,67580,18176,1207,3481,1368,0,2122.878,122,0,0,955.122,0,0,26640,19736,2514,1463,100,580,65960
9/1/2009,56237,18255,948,6047,1435,0,15974.852,304,0,0,1494.148,0,0,21574,31843,3050,596,122,3860,67162
